Año;Mes.de.choque;Rango.horario;Cantidad.de.lesionados;addresses;Coordenada.X;Coordenada.Y;lon;lat;direccion
2016;Julio;6:00 a 11:59;1;AVELLANEDA Y GABOTO,Rosario,Santa Fe,Argentina;5435873,95;6352780,13;-60,6859876;-32,9659843;Gaboto & Bv. Avellaneda, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;GODOY 7400,Rosario,Santa Fe,Argentina;5432645,74;6352061,04;-60,7209526;-32,9359852;Sta Fe 7400, S2008ANL Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;GAMBARTES Y KENNEDY,Rosario,Santa Fe,Argentina;5433591,05;6361238,3;-60,7097553;-32,889635;Av. J. F. Kennedy & Gambartes, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;AYACUCHO Y REGIMIENTO 11,Rosario,Santa Fe,Argentina;5440519,7;6349213,95;-60,6364411;-32,9984153;Regimiento 11 & Ayacucho, S2011 Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;GENOVA 2200,Rosario,Santa Fe,Argentina;5434955,67;6358393,58;-60,6953155;-32,9155126;Av. Genova 2200, S2013BTO Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;PUEYRREDON Y URIBURU,Rosario,Santa Fe,Argentina;5437418,81;6349973,75;-60,6695629;-32,9914457;Pueyrredón & Av. Uriburu, S2004 Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;MAGALLANES Y PELLEGRINI,Rosario,Santa Fe,Argentina;5434155,16;6354724,49;-60,70415;-32,9484296;Magallanes & Av. Pellegrini, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;CALVO Y SORRENTO,Rosario,Santa Fe,Argentina;5434266,36;6359258,6;-60,7027455;-32,9075117;Calvo & Av. Sorrento, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;PUEYRREDON Y RIVADAVIA,Rosario,Santa Fe,Argentina;5438793,19;6356640,31;-60,7041059;-32,8618559;Rivadavia & Pueyrredón, S2152 Granadero Baigorria, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;FRANCIA 3800,Rosario,Santa Fe,Argentina;5436986,05;6351608,2;-60,6744079;-32,9764712;Av. Francia 3800, S2004HYP Rosario, Santa Fe, Argentina
